player_id,display_name,season,age,position,college_name,draft_year,draft_round,height,weight,games,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_epa,fantasy_points,fantasy_points_ppr
00-0019641,Thomas Jones,2002,24,RB,Virginia,2000.0,1.0,70.0,212.0,9,138,511.0,2,21.0,-15.384740414982186,3.0,20,30,113.0,0,-8.910412053812948,70.4,90.4
00-0019641,Thomas Jones,2003,25,RB,Virginia,2000.0,1.0,70.0,212.0,15,137,627.0,3,25.0,-13.084797857543622,3.0,24,24,180.0,0,5.555088590248488,94.7,118.7
00-0019641,Thomas Jones,2004,26,RB,Virginia,2000.0,1.0,70.0,212.0,14,240,948.0,7,49.0,-16.74255059519323,2.0,56,56,427.0,0,12.738039659105729,177.5,233.5
00-0019641,Thomas Jones,2005,27,RB,Virginia,2000.0,1.0,70.0,212.0,15,314,1335.0,9,61.0,-35.55524292340126,2.0,26,26,143.0,0,2.6333708383478047,197.8,223.8
00-0019641,Thomas Jones,2006,28,RB,Virginia,2000.0,1.0,70.0,212.0,16,297,1205.0,6,61.0,-13.660872370318648,1.0,36,36,154.0,0,-5.111964701438593,169.74,205.74
00-0019641,Thomas Jones,2007,29,RB,Virginia,2000.0,1.0,70.0,212.0,16,310,1119.0,1,56.0,-35.41010922548589,2.0,28,28,217.0,1,10.938163107984526,145.60000000000002,173.60000000000002
00-0019641,Thomas Jones,2008,30,RB,Virginia,2000.0,1.0,70.0,212.0,16,290,1312.0,13,63.0,3.4540326198649476,2.0,36,36,207.0,2,11.28960690140957,239.9,275.90000000000003
00-0019641,Thomas Jones,2009,31,RB,Virginia,2000.0,1.0,70.0,212.0,16,332,1402.0,14,64.0,-0.08882931138043215,2.0,10,18,58.0,0,-4.3079348323282245,230.0,240.0
00-0019641,Thomas Jones,2010,32,RB,Virginia,2000.0,1.0,70.0,212.0,16,245,896.0,6,39.0,-34.18924626861249,3.0,14,20,122.0,0,2.391535028545017,135.8,149.8
00-0019641,Thomas Jones,2011,33,RB,Virginia,2000.0,1.0,70.0,212.0,16,153,478.0,0,19.0,-31.45311900859952,0.0,5,7,43.0,0,0.19788103341124952,52.1,57.1
00-0019643,Ron Dayne,2000,22,RB,Wisconsin,2000.0,1.0,70.0,245.0,16,226,758.0,5,47.0,-31.61798029908609,1.0,3,3,11.0,0,-1.7960060456289981,104.9,107.9
00-0019643,Ron Dayne,2001,23,RB,Wisconsin,2000.0,1.0,70.0,245.0,16,180,690.0,7,38.0,-23.257873802124905,2.0,8,11,67.0,0,1.770258629694581,117.7,125.7
00-0019643,Ron Dayne,2002,24,RB,Wisconsin,2000.0,1.0,70.0,245.0,16,125,428.0,3,26.0,-17.134717283526065,1.0,11,12,49.0,0,-2.4871268601855263,63.7,74.7
00-0019643,Ron Dayne,2004,26,RB,Wisconsin,2000.0,1.0,70.0,245.0,11,52,179.0,1,10.0,-7.746307881729237,0.0,1,1,7.0,0,-0.13553153770044446,24.6,25.6
00-0019643,Ron Dayne,2005,27,RB,Wisconsin,2000.0,1.0,70.0,245.0,8,53,270.0,1,14.0,-1.4934763090658967,0.0,3,3,17.0,0,-4.426576573168859,32.7,35.7
00-0019643,Ron Dayne,2006,28,RB,Wisconsin,2000.0,1.0,70.0,245.0,10,151,612.0,5,39.0,8.297291169724623,1.0,14,14,77.0,0,1.1270890958160673,100.9,114.9
00-0019643,Ron Dayne,2007,29,RB,Wisconsin,2000.0,1.0,70.0,245.0,13,194,773.0,6,43.0,-11.188040668100852,1.0,17,17,112.0,0,3.4965463499446248,124.5,141.5
